Type,Category,Date,Transaction,Note
Expenses,Persona,2025-03-25T00:00:00.000Z,-18,Crema viso
Expenses,Grocery,2025-03-25T00:00:00.000Z,−13,"#pescheria "
Expenses,Grocery,2025-03-25T00:00:00.000Z,"−30,50","#fruttivendolo "
Expenses,Grocery,2025-03-22T00:00:00.000Z,"−52,42","#conad "
Expenses,Grocery,2025-03-20T00:00:00.000Z,"−21,24","#terraesole piada, stracchino e rucola"
Expenses,Grocery,2025-03-19T00:00:00.000Z,"−17,50","#caffe "
Expenses,Grocery,2025-03-18T00:00:00.000Z,−31,"#fruttivendolo "
Expenses,Grocery,2025-03-18T00:00:00.000Z,−14,"#pescheria "
Income,Salary,2025-03-17T00:00:00.000Z,2133, "Stipendio"
Expenses,Grocery,2025-03-17T00:00:00.000Z,"−32,77","#saporifelici "
Expenses,Bar,2025-03-16T00:00:00.000Z,−16,"#tinto "
Expenses,Restaurant,2025-03-15T00:00:00.000Z,−33,Rosticceria pesce
Expenses,Bar,2025-03-15T00:00:00.000Z,"−4,50",#pasticceria forno piastra
Expenses,Grocery,2025-03-15T00:00:00.000Z,"−67,64","#conad "
Expenses,Health,2025-03-14T00:00:00.000Z,"−17,71",Dental floss
Expenses,Pets,2025-03-14T00:00:00.000Z,−10,Salviette Penny
Expenses,Grocery,2025-03-14T00:00:00.000Z,"−16,85","#macelleria "
Expenses,Restaurant,2025-03-13T00:00:00.000Z,"−22,60","#pizza "
Expenses,Grocery,2025-03-11T00:00:00.000Z,−17,"#pescheria "
Expenses,Grocery,2025-03-11T00:00:00.000Z,"−37,50","#fruttivendolo "
Expenses,Bar,2025-03-11T00:00:00.000Z,"−13,40","Panificio dell’arco "
Expenses,Health,2025-03-10T00:00:00.000Z,"−47,06","Spazzolini x2 elettrici "
Expenses,Utilities,2025-03-10T00:00:00.000Z,"−166,67","#luce "
Expenses,Utilities,2025-03-10T00:00:00.000Z,"−482,29","#gas "
Expenses,Technolgy,2025-03-10T00:00:00.000Z,"−5,99",Varie
Expenses,Car,2025-03-10T00:00:00.000Z,"−65,87",Leva graffi
Expenses,Special,2025-03-10T00:00:00.000Z,"−9,09","Invio cartaceo contratto editoriale "
Expenses,Home,2025-03-10T00:00:00.000Z,"−9,99",#swiffer
Expenses,Bar,2025-03-09T00:00:00.000Z,−12,Vineria 400
Expenses,Bar,2025-03-09T00:00:00.000Z,"−8,30","Panificio dell’arco "
Expenses,Grocery,2025-03-09T00:00:00.000Z,"−24,33","#terraesole "
Expenses,Grocery,2025-03-09T00:00:00.000Z,"−22,26","#macelleria pollo e fesa tacchino "
Expenses,Grocery,2025-03-09T00:00:00.000Z,"−59,08","#conad "
Expenses,Technolgy,2025-03-08T00:00:00.000Z,"−31,90",#tim
Expenses,Health,2025-03-08T00:00:00.000Z,"−21,78","Farmacia Orlandi "
Expenses,Technolgy,2025-03-06T00:00:00.000Z,"−9,99",#icloudstorage
Expenses,Bar,2025-03-05T00:00:00.000Z,−28,"#satispay "
Expenses,Home,2025-03-05T00:00:00.000Z,"−12,82",#spendibene
Expenses,Bar,2025-03-05T00:00:00.000Z,"−11,90",Chiacchiere e frittelle da Pozzi
Expenses,Health,2025-03-05T00:00:00.000Z,"−38,50",#ottica
Expenses,Grocery,2025-03-04T00:00:00.000Z,−15,"#pescheria "
Expenses,Grocery,2025-03-04T00:00:00.000Z,−35,"#fruttivendolo "
Expenses,Persona,2025-03-03T00:00:00.000Z,−22,"Carta di identità "
Income,Pension,2025-03-03T00:00:00.000Z,"367,28",
Expenses,Technolgy,2025-03-02T00:00:00.000Z,−25,Replay
Expenses,Restaurant,2025-03-01T00:00:00.000Z,−47,Imma
Expenses,Bicycle,2025-03-01T00:00:00.000Z,−20,Parafanghi
Expenses,Grocery,2025-03-01T00:00:00.000Z,"−78,10","#conad "
Expenses,Grocery,2025-03-01T00:00:00.000Z,"−12,28","#macelleria "
